Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E,Attendance,Attend/G
2017,30,640,28.8,4.66,4.34,2770,2733,37,17,143,661,24722.1,24076,12898,11923,3492,9047,551,22853,974,107,1038,105812,101,1.34,0.299,8.8,1.3,3.3,8.3,2.53,1654,"41,726,139","30,127"
2016,30,742,28.3,4.48,4.19,4856,4773,83,36,276,1276,43306.1,42276,21744,20160,5610,15088,932,38982,1651,148,1808,184580,101,1.325,0.3,8.8,1.2,3.1,8.1,2.58,2835,"73,159,044","30,131"
2015,30,735,28.4,4.25,3.96,4858,4754,104,51,339,1292,43407.2,42106,20647,19108,4909,14073,951,37446,1602,141,1758,183628,101,1.294,0.299,8.7,1,2.9,7.8,2.66,2830,"73,719,340","30,349"
2014,30,692,28.5,4.07,3.74,4860,4742,118,65,353,1264,43613.2,41595,19761,18129,4186,14020,985,37441,1652,128,1696,183929,101,1.275,0.298,8.6,0.9,2.9,7.7,2.67,2914,"73,739,622","30,345"
2013,30,679,28.4,4.17,3.87,4862,4738,124,57,331,1266,43653.1,42093,20255,18750,4661,14640,1018,36710,1536,128,1736,184873,101,1.3,0.297,8.7,1,3,7.6,2.51,2747,"74,027,037","30,451"
2012,30,662,28.4,4.32,4.01,4860,4732,128,69,310,1261,43355.1,42063,21017,19340,4934,14709,1055,36426,1494,165,1542,184179,101,1.309,0.297,8.7,1,3.1,7.6,2.48,3009,"74,859,268","30,806"
2011,30,662,28.3,4.28,3.94,4858,4685,173,75,323,1243,43527.1,42267,20808,19067,4552,15018,1231,34488,1554,169,1558,185245,101,1.316,0.295,8.7,0.9,3.1,7.1,2.3,3053,"73,425,667","30,228"
2010,30,635,28.4,4.38,4.08,4860,4695,165,59,329,1204,43305.1,42554,21308,19629,4613,15778,1216,34306,1549,182,1674,185553,101,1.347,0.297,8.8,1,3.3,7.1,2.17,3030,"73,061,763","30,066"
2009,30,664,28.4,4.61,4.32,4860,4708,152,63,273,1202,43272,43524,22419,20779,5042,16620,1179,33591,1590,138,1600,187079,101,1.39,0.299,9.1,1,3.5,7,2.02,2857,"73,430,580","30,218"
2008,30,651,28.6,4.65,4.32,4856,4720,136,54,271,1184,43357.2,43972,22585,20830,4878,16337,1310,32884,1672,153,1576,187631,101,1.391,0.3,9.1,1,3.4,6.8,2.01,2965,"78,624,315","32,382"
2007,30,666,28.7,4.8,4.47,4862,4750,112,43,243,1198,43425.2,44977,23322,21583,4957,16079,1323,32189,1755,139,1498,188623,101,1.406,0.302,9.3,1,3.3,6.7,2,2988,"79,484,718","32,696"
2006,30,635,28.8,4.86,4.53,4858,4714,144,63,260,1201,43258,45073,23599,21758,5386,15847,1410,31655,1817,145,1522,188071,100,1.408,0.301,9.4,1.1,3.3,6.6,2,3067,"76,043,902","31,306"
2005,30,606,29.2,4.59,4.29,4862,4673,189,63,261,1254,43232.1,43991,22325,20612,5017,15207,1216,30644,1797,161,1439,186292,101,1.369,0.295,9.2,1,3.2,6.4,2.02,3060,"74,915,268","30,816"
2004,30,632,29.1,4.81,4.46,4856,4706,150,69,251,1230,43394,44522,23376,21527,5451,16222,1381,31828,1850,157,1478,188539,101,1.4,0.297,9.2,1.1,3.4,6.6,1.96,3166,"73,022,972","30,075"
2003,30,612,28.7,4.73,4.4,4860,4651,209,72,259,1198,43335.1,44057,22978,21185,5207,15889,1316,30801,1849,158,1546,187449,101,1.383,0.294,9.1,1.1,3.3,6.4,1.94,3171,"67,630,052","27,831"
2002,30,609,28.8,4.62,4.28,4852,4638,214,87,275,1224,43269,43272,22408,20570,5059,16246,1452,31394,1746,160,1494,186615,101,1.376,0.293,9,1.1,3.4,6.5,1.93,3225,"67,944,389","28,006"
2001,30,591,28.7,4.78,4.42,4858,4659,199,74,229,1210,43287.1,43879,23199,21247,5458,15806,1384,32404,1890,151,1484,186976,100,1.379,0.296,9.1,1.1,3.3,6.7,2.05,3357,"72,581,101","29,881"
2000,30,606,28.8,5.14,4.77,4858,4624,234,72,204,1178,43244.1,45246,24971,22918,5693,18237,1210,31356,1573,161,1518,190261,101,1.468,0.3,9.4,1.2,3.8,6.5,1.72,3447,"71,358,907","29,377"
1999,30,585,28.8,5.08,4.71,4856,4619,237,64,193,1217,43211.1,45327,24691,22607,5528,17891,1107,31119,1579,177,1632,189692,101,1.463,0.302,9.4,1.2,3.7,6.5,1.74,3508,"70,139,380","28,887"
1998,30,557,28.8,4.79,4.43,4864,4562,302,101,244,1265,43434.2,44489,23297,21387,5064,16447,1067,31893,1587,205,1603,188280,101,1.403,0.299,9.2,1,3.4,6.6,1.94,3444,"70,601,147","29,030"
1997,28,534,28.5,4.77,4.39,4532,4266,266,89,211,1139,40454,41471,21604,19729,4640,15666,1169,29937,1449,188,1482,175541,100,1.412,0.301,9.2,1,3.5,6.7,1.91,3237,"63,168,689","27,876"
1996,28,538,28.4,5.04,4.61,4534,4244,290,84,196,1116,40560.2,42320,22831,20780,4962,16093,1343,29308,1404,197,1553,177261,101,1.44,0.301,9.4,1.1,3.6,6.5,1.82,3356,"60,097,381","26,509"
1995,28,552,28.3,4.85,4.45,4034,3759,275,88,204,1006,36032,36975,19554,17822,4081,14240,1105,25425,1219,199,1414,156703,101,1.421,0.298,9.2,1,3.6,6.4,1.79,2911,"50,469,236","25,021"
1994,28,470,28.6,4.92,4.51,3200,2945,255,69,143,777,28586.1,29743,15752,14330,3306,11131,1008,19766,876,174,1162,124483,101,1.43,0.3,9.4,1,3.5,6.2,1.78,2360,"50,010,016","31,256"
1993,28,507,28.5,4.6,4.19,4538,4167,371,99,220,1192,40507,41088,20864,18861,4030,15110,1477,26310,1200,298,1473,174564,101,1.387,0.294,9.1,0.9,3.4,5.8,1.74,3483,"70,257,938","30,964"
