mlb_id,mlb_name,mlb_pos,mlb_team,mlb_team_long,bats,throws,birth_year,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_pos,espn_id,espn_name,espn_pos,fg_id,fg_name,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retro_id,retro_name,debut,yahoo_id,yahoo_name,yahoo_pos,mlb_depth,ottoneu_id,ottoneu_name,ottoneu_pos
519145,Aaron Poreda,P,TEX,Texas Rangers,L,L,1986,57147,poredaa01,Aaron Poreda,1629160,Aaron Poreda,SP,30009,Aaron Poreda,RP,4313,Aaron Poreda,poredaa01,8391,Aaron Poreda,P,porea001,Aaron Poreda,20090612,8391,Aaron Poreda,RP,,7746,Aaron Poreda,RP
592717,Aaron Sanchez,P,TOR,Toronto Blue Jays,R,R,1992,67107,sanchaa01,Aaron Sanchez,1757987,Aaron Sanchez,SP,31254,Aaron Sanchez,SP,11490,Aaron Sanchez,sanchaa01,9635,Aaron Sanchez,P,sanca006,Aaron Sanchez,20140723,9635,Aarón Sánchez,SP,SP1,14401,Aaron Sanchez,SP
457744,Aaron Thompson,P,MIN,Minnesota Twins,L,L,1987,49018,thompaa01,Aaron Thompson,1199460,Aaron Thompson,RP,29775,Aaron Thompson,RP,999,Aaron Thompson,thompaa01,9025,Aaron Thompson,P,thoma003,Aaron Thompson,20110824,9025,Aaron Thompson,RP,,2054,Aaron Thompson,RP
593582,Abel De Los Santos,P,LAA,Los Angeles Angels,R,R,1992,67361,delosab01,Abel De Los Santos,2179143,Abel De Los Santos,RP,34823,Abel De Los Santos,RP,12962,Abel De Los Santos,delosab01,10028,Abel De los Santos,P,deloa001,Abel de los Santos,20150721,10028,Abel De los Santos,RP,,13274,Abel De Los Santos,RP
501659,Abraham Almonte,RF,CLE,Cleveland Indians,S,R,1989,50910,almonab01,Abraham Almonte,1813191,Abraham Almonte,RF,31474,Abraham Almonte,RF,5486,Abraham Almonte,almonab01,9506,Abraham Almonte,RF,almoa001,Abraham Almonte,20130830,9506,Abraham Almonte,RF,LF4,4422,Abraham Almonte,OF
606167,Adalberto Mejia,P,MIN,Minnesota Twins,R,L,1993,69644,mejiaad01,Adalberto Mejia,2117045,Adalberto Mejia,RP,33198,Adalberto Mejia,RP,13188,Adalberto Mejia,mejiaad01,9891,Adalberto Mejia,P,mejia001,Adalberto Mejia,20160820,9891,Adalberto Mejía,RP,,23638,Adalberto Mejia,SP/RP
543045,Adam Conley,P,MIA,Miami Marlins,L,L,1990,70300,conlead01,Adam Conley,2042428,Adam Conley,SP,32669,Adam Conley,SP,14457,Adam Conley,conlead01,9993,Adam Conley,P,conla001,Adam Conley,20150610,9993,Adam Conley,SP,SP3,18316,Adam Conley,SP
594807,Adam Duvall,LF,CIN,Cincinnati Reds,R,R,1988,67744,duvalad01,Adam Duvall,2042091,Adam Duvall,LF,32664,Adam Duvall,LF,10950,Adam Duvall,duvalad01,9747,Adam Duvall,LF,duvaa001,Adam Duvall,20140626,9747,Adam Duvall,1B,LF1,13750,Adam Duvall,OF
594809,Adam Eaton,RF,WSH,Washington Nationals,L,L,1988,67746,eatonad02,Adam Eaton,1808563,Adam Eaton,CF,32068,Adam Eaton,CF,11205,Adam Eaton,eatonad02,9302,Adam Eaton,CF,eatoa002,Adam Eaton,20120904,9302,Adam Eaton,RF,CF1,13936,Adam Eaton,OF
641553,Adam Engel,CF,CWS,Chicago White Sox,R,R,1991,102578,,,2169649,Adam Engel,CF,34064,Adam Engel,CF,sa709002,Adam Engel,,,,,,,22220202,,,,CF3,18636,Adam Engel,OF
624428,Adam Frazier,LF,PIT,Pittsburgh Pirates,L,R,1991,101618,fraziad01,Adam Frazier,2121473,Adam Frazier,LF,33546,Adam Frazier,LF,15223,Adam Frazier,fraziad01,10322,Adam Frazier,2B,fraza001,Adam Frazier,20160624,10322,Adam Frazier,2B,LF2,19348,Adam Frazier,2B/OF
430945,Adam Jones,CF,BAL,Baltimore Orioles,R,R,1985,45435,jonesad01,Adam Jones,479388,Adam Jones,CF,28513,Adam Jones,CF,6368,Adam Jones,jonesad01,7812,Adam Jones,CF,jonea003,Adam Jones,20060714,7812,Adam Jones,CF,CF1,1017,Adam Jones,OF
425560,Adam LaRoche,DH,CWS,Chicago White Sox,L,L,1979,31351,larocad01,Adam LaRoche,390776,Adam LaRoche,DH,5879,Adam LaRoche,DH,1904,Adam LaRoche,larocad01,7253,Adam LaRoche,1B,laroa001,Adam LaRoche,20040407,7253,Adam LaRoche,1B/DH,,8856,Adam LaRoche,Util
571893,Adam Liberatore,P,LAD,Los Angeles Dodgers,L,L,1987,66565,liberad01,Adam Liberatore,2036145,Adam Liberatore,RP,32622,Adam Liberatore,RP,10637,Adam Liberatore,liberad01,9936,Adam Liberatore,P,libea001,Adam Liberatore,20150417,9936,Adam Liberatore,RP,RP2,13604,Adam Liberatore,RP
452252,Adam Lind,1B,WSH,Washington Nationals,L,L,1983,48037,lindad01,Adam Lind,547682,Adam Lind,1B,28579,Adam Lind,1B,8027,Adam Lind,lindad01,7859,Adam Lind,1B,linda001,Adam Lind,20060902,7859,Adam Lind,1B,LF2,964,Adam Lind,1B
429400,Adam Loewen,P,ARI,Arizona Diamondbacks,L,L,1984,45549,loewead01,Adam Loewen,448946,Adam Loewen,RP,5502,Adam Loewen,RP,2134,Adam Loewen,loewead01,7144,Adam Loewen,P,loewa001,Adam Loewen,20060523,7144,Adam Loewen,RP,,5124,Adam Loewen,RP
446192,Adam Moore,C,CLE,Cleveland Indians,R,R,1984,52441,mooread01,Adam Moore,1225742,Adam Moore,C,29491,Adam Moore,C,9362,Adam Moore,mooread01,8597,Adam Moore,C,moora001,Adam Moore,20090917,8597,Adam Moore,C,,1896,Adam Moore,C
605388,Adam Morgan,P,PHI,Philadelphia Phillies,L,L,1990,70472,morgaad01,Adam Morgan,2039892,Adam Morgan,SP,32636,Adam Morgan,SP,12580,Adam Morgan,morgaad01,10005,Adam Morgan,P,morga001,Adam Morgan,20150621,10005,Adam Morgan,SP,,18200,Adam Morgan,SP
493603,Adam Ottavino,P,COL,Colorado Rockies,S,R,1985,51434,ottavad01,Adam Ottavino,1537191,Adam Ottavino,RP,29705,Adam Ottavino,RP,1247,Adam Ottavino,ottavad01,8736,Adam Ottavino,P,ottaa001,Adam Ottavino,20100529,8736,Adam Ottavino,RP,RP2,2014,Adam Ottavino,RP
