key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
6020b1f4,6020b1f4-4854-4617-a86b-33e3f959c901,430911,aardd001,aardsda01,aardsm001dav,1902,,,,,,Aardsma,David,David Allan,,,,1981,12,27,,,,2003,2017,2004,2015,2001,2003,,,,,,,,,,
5a36cc6f,5a36cc6f-e91d-4cbe-b7a4-25178b6a6123,110001,aaroh101,aaronha01,aaron-001hen,1000001,,,,,,Aaron,Hank,Henry Louis,,,Hammer; Hammerin' Hank; Bad Henry,1934,2,5,,,,1952,1976,1954,1976,,,,,,,,,,,,
a3f2f0b1,a3f2f0b1-6c75-42dc-a29b-98ea86396fb2,110002,aarot101,aaronto01,aaron-001tom,1000002,,,,,,Aaron,Tommie,Tommie Lee,,,,1939,8,5,1984,8,16,1958,1973,1962,1971,,,1974,1978,,,,,,,,
d7b213bc,d7b213bc-85e2-49ab-8911-1b9b26e4d327,110003,aased001,aasedo01,aase--001don,1000003,,,,,,Aase,Don,Donald William,,,,1954,9,8,,,,1972,1990,1977,1990,,,,,,,,,,,,
ec61366b,ec61366b-78e4-4e94-87c6-d6dd727bdefd,407577,abada001,abadan01,abad--001fau,506,,,,,,Abad,Andy,Fausto Andres,,,,1972,8,25,,,,1993,2015,2001,2006,1992,1993,,,,,,,,,,
409c5800,409c5800-6f02-42e5-8ec7-a5c87279730d,472551,abadf001,abadfe01,abad--001fer,4994,,,,,,Abad,Fernando,Fernando Antonio,,,,1985,12,17,,,,2006,2017,2010,2017,,,,,,,,,,,,
14973d8b,14973d8b-c6eb-44f3-b14b-0c245ec56515,110004,abadj101,abadijo01,abadie001joh,1000004,,,,,,Abadie,John,John W.,,,,1850,11,4,1905,5,17,1875,1877,1875,1875,,,,,,,,,,,,
e51cc3d1,e51cc3d1-ec1f-43d7-a5f1-e62bddc3ea3d,110005,abbae101,abbated01,abbati001edw,1000005,,,,,,Abbaticchio,Ed,Edward James,,,Batty,1877,4,15,1957,1,6,1897,1910,1897,1910,,,,,,,,,,,,
19a21d04,19a21d04-e211-4d23-9544-52a32045c78f,110006,abbeb101,abbeybe01,abbey-001ber,1000006,,,,,,Abbey,Bert,Bert Wood,,,,1869,11,11,1962,6,11,1892,1899,1892,1896,1889,1892,,,,,,,,,,
a84c475d,a84c475d-7b4e-4744-a2ef-e1ac3594841b,110007,abbec101,abbeych01,abbey-001cha,1000007,,,,,,Abbey,Charlie,Charles S.,,,,1866,10,14,1926,4,27,1889,1897,1893,1897,,,,,,,,,1897,1897,1897,1897
850ee13b,850ee13b-8e97-45b8-9938-03f42f541796,110013,abbod101,abbotda01,abbott001dan,1000008,,,,,,Abbott,Dan,Leander Franklin,,,Big Dan,1862,3,16,1930,2,13,1889,1891,1890,1890,,,,,,,,,,,,
44ed23b9,44ed23b9-412f-4980-9025-62cbba9acce2,110008,abbof101,abbotfr01,abbott002har,1000009,,,,,,Abbott,Fred,Harry Frederick,,,,1874,10,22,1935,6,11,1895,1911,1903,1905,,,1909,1909,,,,,1905,1905,1905,1905
325773b7,325773b7-d6a2-4510-b58c-f82630b24820,110016,abbog001,abbotgl01,abbott002wil,1000010,,,,,,Abbott,Glenn,William Glenn,,,,1951,2,16,,,,1970,1984,1973,1984,,,,,,,,,,,,
40322592,40322592-9d1f-4141-a1da-568e729230a9,110010,abboj002,abbotje01,abbott002jef,1000011,,,,,,Abbott,Jeff,Jeffrey William,,,,1972,8,17,,,,1994,2003,1997,2001,1991,1994,,,,,,,,,,
