id,ab,hits,singles,doubles,triples,homeruns,average,stolenbases,caughtstealing,runs,rbi,walks,errors,hbp,strikeouts,batterID,bgameID,dkpoints
841,4,2,2,0,0,0,0.5000,0,0,0,1,0,0,0,0,2300,31,8.000
1792,3,1,0,0,0,1,0.4290,0,0,2,1,1,0,0,1,2300,36,18.000
1932,3,0,0,0,0,0,0.3000,1,0,1,0,2,0,0,2,2300,41,11.000
2531,5,2,1,0,0,1,0.3330,0,0,2,1,0,0,0,1,2300,42,19.000
2874,3,1,0,1,0,0,0.3330,0,0,2,2,2,1,0,0,2300,45,17.000
3052,4,1,0,1,0,0,0.3180,1,0,1,0,0,0,0,1,2300,46,12.000
3661,4,2,1,1,0,0,0.3460,0,0,0,0,0,0,0,1,2300,47,8.000
4305,4,0,0,0,0,0,0.3000,0,0,0,0,0,0,0,0,2300,49,0.000
4614,3,1,1,0,0,0,0.3030,0,0,1,0,1,0,1,2,2300,50,9.000
4929,4,0,0,0,0,0,0.2700,0,0,0,0,0,0,0,1,2300,51,0.000
5813,2,0,0,0,0,0,0.2560,0,0,0,0,2,0,0,0,2300,55,4.000
6233,4,2,2,0,0,0,0.2770,0,0,0,1,0,0,0,1,2300,57,8.000
6821,2,0,0,0,0,0,0.2650,1,0,0,0,3,0,0,1,2300,58,11.000
