playerName,dkpoints,dkPointsPred
"Jon Jay",3,6.836
"Kris Bryant",5,7.559
"Anthony Rizzo",0,7.279
"Ian Happ",5,7.537
"Kyle Schwarber",8,7.140
"Javier Baez",25,7.247
"Addison Russell",20,7.252
"Ender Inciarte",17,6.194
"Johan Camargo",0,8.646
"Freddie Freeman",0,6.824
"Matt Kemp",0,7.092
"Tyler Flowers",14,6.636
"Danny Santana",10,6.310
"Dansby Swanson",0,7.889
"Cesar Hernandez",15,6.263
"Freddy Galvis",21,6.282
"Maikel Franco",18,6.626
"Daniel Nava",18,7.125
"Tommy Joseph",9,7.160
"Odubel Herrera",9,6.806
"Andrew Knapp",14,7.178
"Dee Gordon",0,6.307
"Giancarlo Stanton",14,8.882
"Christian Yelich",18,6.831
"Marcell Ozuna",3,9.103
"Justin Bour",5,7.338
"Derek Dietrich",3,6.547
"Brett Gardner",8,7.065
"Jacoby Ellsbury",2,6.922
"Gary Sanchez",0,7.197
"Starlin Castro",6,7.039
"Didi Gregorius",5,7.375
"Austin Romine",4,6.735
"Ronald Torreyes",0,6.646
"Brian Dozier",11,7.265
"Eduardo Escobar",7,7.289
"Miguel Sano",18,8.214
"Robbie Grossman",0,7.002
"Max Kepler",0,5.579
"Chris Gimenez",5,7.521
"Jorge Polanco",0,6.294
"Jean Segura",13,7.833
"Ben Gamel",16,6.777
"Robinson Cano",4,6.818
"Nelson Cruz",0,8.312
"Kyle Seager",0,6.808
"Danny Valencia",5,7.766
"Jarrod Dyson",0,6.950
"Mike Zunino",7,8.238
"Guillermo Heredia",7,7.588
"George Springer",8,7.821
"Jose Altuve",6,7.433
"Yuli Gurriel",2,6.195
"Evan Gattis",3,6.470
"Carlos Beltran",0,6.162
"Marwin Gonzalez",5,7.209
"Brian McCann",0,6.312
"Alex Bregman",15,7.798
"Jake Marisnick",0,7.483
"Manuel Margot",5,6.537
"Wil Myers",3,7.357
"Jabari Blash",11,7.906
"Cory Spangenberg",21,7.963
"Erick Aybar",0,7.617
"Charlie Blackmon",28,7.318
"DJ LeMahieu",9,8.190
"Nolan Arenado",58,9.360
"Mark Reynolds",0,7.332
"Ian Desmond",6,7.683
"Gerardo Parra",16,7.870
"Trevor Story",35,8.980
"Steven Souza Jr.",2,7.438
"Corey Dickerson",6,6.838
"Evan Longoria",10,6.909
"Logan Morrison",10,7.434
"Brad Miller",10,6.486
"Tim Beckham",0,7.384
"Mallex Smith",0,6.957
"Trevor Plouffe",2,6.836
"Matt Joyce",16,5.729
"Yonder Alonso",12,6.479
"Khris Davis",5,7.300
"Jed Lowrie",10,6.125
"Rajai Davis",12,6.647
"Bradley Zimmer",4,7.511
"Francisco Lindor",2,7.083
"Michael Brantley",16,7.860
"Jose Ramirez",12,8.466
"Carlos Santana",10,7.742
"Abraham Almonte",0,8.070
"Roberto Perez",5,6.411
"Denard Span",21,7.032
"Brandon Belt",6,7.691
"Brandon Crawford",12,6.647
"Nick Hundley",2,6.730
"Kelby Tomlinson",5,6.832
"Gorkys Hernandez",0,6.763
"Domingo Santana",24,7.076
"Eric Thames",0,8.267
"Jesus Aguilar",8,7.093
"Travis Shaw",3,8.438
"Hernan Perez",0,6.841
"Keon Broxton",2,7.206
"Orlando Arcia",3,7.147
"Josh Harrison",13,7.040
"Andrew McCutchen",9,7.460
"Jose Osuna",0,7.260
"David Freese",8,7.107
"Gregory Polanco",3,7.604
"Francisco Cervelli",13,7.572
"Jordy Mercer",3,7.750
"Shin-Soo Choo",11,7.627
"Elvis Andrus",0,7.663
"Nomar Mazara",2,7.838
"Adrian Beltre",5,8.140
"Mike Napoli",7,7.629
"Rougned Odor",5,7.681
"Carlos Gomez",3,8.459
"Robinson Chirinos",5,8.363
"Joey Gallo",14,8.596
"Adam Jones",26,6.615
"Manny Machado",11,7.403
"Jonathan Schoop",19,7.989
"Mark Trumbo",0,7.154
"Chris Davis",0,7.725
"Trey Mancini",19,7.456
"Caleb Joseph",10,7.979
"Joey Rickard",4,7.504
"David Peralta",24,7.391
"A.J. Pollock",8,7.621
"Jake Lamb",7,8.374
"Paul Goldschmidt",8,8.871
"J.D. Martinez",0,8.069
"Chris Owings",0,8.001
"Brandon Drury",2,8.182
"Jeff Mathis",7,6.723
"Billy Hamilton",18,5.929
"Zack Cozart",27,7.131
"Joey Votto",10,7.332
"Adam Duvall",7,7.146
"Scooter Gennett",8,7.663
"Eugenio Suarez",5,7.104
"Scott Schebler",4,6.984
"Tucker Barnhart",10,6.754
"Matt Carpenter",0,7.352
"Tommy Pham",3,7.187
"Dexter Fowler",2,7.183
"Jedd Gyorko",3,7.283
"Yadier Molina",3,6.570
"Paul DeJong",0,7.534
"Kolten Wong",6,7.588
"Michael Conforto",5,7.626
"Asdrubal Cabrera",13,6.568
"Jay Bruce",7,7.610
"Yoenis Cespedes",16,6.727
"Lucas Duda",11,7.775
"Wilmer Flores",5,6.900
"Jose Reyes",10,6.766
"Travis d'Arnaud",8,6.507
"Jose Bautista",2,6.089
"Steve Pearce",0,6.998
"Josh Donaldson",3,7.076
"Justin Smoak",7,8.066
"Kendrys Morales",0,7.608
"Troy Tulowitzki",2,5.925
"Kevin Pillar",3,7.887
"Darwin Barney",3,6.728
"Mookie Betts",14,7.490
"Andrew Benintendi",2,7.041
"Dustin Pedroia",14,7.298
"Mitch Moreland",0,7.257
"Chris Young",8,7.632
"Jackie Bradley Jr.",10,7.280
"Christian Vazquez",2,7.263
"Deven Marrero",9,6.527
"Chris Taylor",28,7.075
"Corey Seager",26,7.863
"Justin Turner",10,8.092
"Cody Bellinger",2,7.643
"Logan Forsythe",2,7.619
"Austin Barnes",2,6.809
"Enrique Hernandez",28,7.038
"Yasiel Puig",15,5.933
"Melky Cabrera",14,6.658
"Jose Abreu",5,6.996
"Avisail Garcia",0,7.261
"Matt Davidson",3,7.402
"Tim Anderson",0,6.775
"Omar Narvaez",3,6.890
"Yolmer Sanchez",3,7.418
"Ian Kinsler",5,6.827
"Justin Upton",8,7.709
"Miguel Cabrera",2,7.416
"Nicholas Castellanos",3,7.424
"Victor Martinez",4,6.756
"Jose Iglesias",0,7.228
"Whit Merrifield",6,6.777
"Jorge Bonifacio",0,7.003
"Lorenzo Cain",7,7.149
"Eric Hosmer",2,7.673
"Salvador Perez",10,7.408
"Mike Moustakas",5,7.822
"Alcides Escobar",4,6.489
"Brandon Moss",26,6.975
"Alex Gordon",2,7.106
"Ryan Raburn",0,8.289
"Daniel Murphy",0,8.042
"Ryan Zimmerman",0,7.263
"Anthony Rendon",2,7.455
"Matt Wieters",0,7.124
"Yunel Escobar",12,6.950
"Mike Trout",20,7.952
"Albert Pujols",9,6.269
"C.J. Cron",19,8.018
"Andrelton Simmons",4,6.882
"Martin Maldonado",2,7.429
"Ben Revere",10,5.316
