id,ab,hits,singles,doubles,triples,homeruns,average,stolenbases,caughtstealing,runs,rbi,walks,errors,hbp,strikeouts,batterID,bgameID,dkpoints
817,3,2,2,0,0,0,0.6670,0,0,0,0,2,0,0,0,2276,31,10.000
1763,4,1,1,0,0,0,0.4290,0,0,0,0,0,0,0,0,2276,36,3.000
2212,2,0,0,0,0,0,0.3330,0,0,1,2,1,0,0,1,2276,42,8.000
2561,3,0,0,0,0,0,0.2500,0,0,0,0,0,0,0,1,2276,45,0.000
3085,3,1,0,1,0,0,0.2670,0,0,0,1,1,0,0,1,2276,46,9.000
3543,3,1,1,0,0,0,0.2780,0,0,0,0,0,0,0,0,2276,47,3.000
4275,4,2,2,0,0,0,0.3180,0,0,1,1,0,0,0,0,2276,49,10.000
4498,2,0,0,0,0,0,0.2920,0,0,0,1,0,0,1,0,2276,50,4.000
5947,4,0,0,0,0,0,0.2500,0,0,1,0,0,0,0,1,2276,55,2.000
6497,3,1,0,0,0,1,0.2290,0,0,1,1,0,0,0,1,2276,57,14.000
